blank,,blank2,,blank3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
560.0003052,0.003970702644,560.0003052,0.00385791529,560.0003052,0.003860161174,
558.9869385,0.003591055982,558.9869385,0.003656469751,558.9869385,0.00353361154,
558.0109253,0.003227700712,558.0109253,0.003407109762,558.0109253,0.003352089552,
556.9971313,0.003055247944,556.9971313,0.003057724563,556.9971313,0.003078345442,
555.9830933,0.002752956236,555.9830933,0.002743682126,555.9830933,0.002821370261,
555.0063477,0.00260199327,555.0063477,0.00250825379,555.0063477,0.002580118831,
553.9918213,0.002245891141,553.9918213,0.002223046031,553.9918213,0.002291194629,
553.0146484,0.001957189292,553.0146484,0.001950246515,553.0146484,0.001972011058,
551.9995728,0.001844611252,551.9995728,0.001840036013,551.9995728,0.001858805423,
550.984375,0.001815210679,550.984375,0.001581298071,550.984375,0.001778664067,
550.0064697,0.001466090325,550.0064697,0.001645552344,550.0064697,0.001665560761,
548.9907837,0.001367376302,548.9907837,0.001449415693,548.9907837,0.00142985885,
548.0124512,0.001354496577,548.0124512,0.001485207235,548.0124512,0.001357378904,
546.9962158,0.001145591727,546.9962158,0.001078842324,546.9962158,0.00113339338,
546.017395,0.001080866437,546.017395,0.00105636986,546.017395,0.001121221343,
545.0007324,0.001226602821,545.0007324,0.001131732366,545.0007324,0.001242957427,
543.9838867,0.001298645511,543.9838867,0.001269515487,543.9838867,0.001230652444,
543.0043945,0.001554279355,543.0043945,0.001545940293,543.0043945,0.001511676237,
541.9870605,0.001536821947,541.9870605,0.001498740283,541.9870605,0.00146673969,
541.0071411,0.001382463728,541.0071411,0.001242568018,541.0071411,0.001205031294,
539.9892578,0.00176002807,539.9892578,0.001637705253,539.9892578,0.001712077181,
539.0089111,0.002106055152,539.0089111,0.002216957742,539.0089111,0.002112610266,
537.9905396,0.002556917723,537.9905396,0.002534394618,537.9905396,0.00258295727,
537.0097656,0.002593217418,537.0097656,0.002546137664,537.0097656,0.002624910325,
535.9909058,0.003099488793,535.9909058,0.003126812633,535.9909058,0.003048652783,
