Time (µs) - Sample 2 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test1;Time (µs) - Sample 2 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test2;Time (µs) - Sample 2 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test3;;;;;;Size (d.nm) - Sample 2 [Steady state] test1;Intensity (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Intensity (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Intensity (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Number (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Number (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Number (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Volume (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Volume (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Volume (Percent) - Sample 2 [Steady state] test3
6,2;0,8812;6,2;0,8973;6,2;0,8949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,4;0,8793;6,4;0,8923;6,4;0,8928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,8;0,8721;6,8;0,8873;6,8;0,886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,2;0,8654;7,2;0,8813;7,2;0,8802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,6;0,8589;7,6;0,8764;7,6;0,8745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0,8534;8;0,8715;8;0,8688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,4;0,8487;8,4;0,8672;8,4;0,8628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,8;0,8438;8,8;0,8628;8,8;0,8586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,2;0,8385;9,2;0,8568;9,2;0,854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,6;0,8333;9,6;0,8512;9,6;0,8498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0,8284;10;0,8457;10;0,8443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,4;0,8245;10,4;0,8413;10,4;0,8393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,8;0,8191;10,8;0,8368;10,8;0,8348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,2;0,8147;11,2;0,8332;11,2;0,8318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11,6;0,8099;11,6;0,8286;11,6;0,8272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;0,8066;12;0,8244;12;0,8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,4;0,8011;12,4;0,8193;12,4;0,8171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,8;0,7963;12,8;0,8151;12,8;0,8135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13,6;0,787;13,6;0,806;13,6;0,8049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14,4;0,7803;14,4;0,7975;14,4;0,7968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15,2;0,7723;15,2;0,7899;15,2;0,7888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0,7642;16;0,7823;16;0,7805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16,8;0,7556;16,8;0,7738;16,8;0,7728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17,6;0,7486;17,6;0,7657;17,6;0,7652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18,4;0,7402;18,4;0,7574;18,4;0,7582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
